Date	        Price	Open	High	Low	Vol.	Change%
4-Jan-16	432.9	428.64	435.67	426.97	13.02K	0.99%	
5-Jan-16	431.84	432.9	434.91	428.22	11.22K	-0.24%	
6-Jan-16	427.99	431.84	432.17	425.03	8.74K	-0.89%	
7-Jan-16	459.05	428.89	461.89	427.11	55.66K	7.26%	
8-Jan-16	454	458.78	465	446.75	30.45K	-1.10%	
9-Jan-16	449.23	454	456.01	447.46	8.76K	-1.05%	
10-Jan-16	449.35	449.23	450.26	441.01	13.75K	0.03%	
11-Jan-16	449.26	449.35	452.47	443.59	14.81K	-0.02%	
12-Jan-16	432.05	449.26	449.63	429.34	20.66K	-3.83%	
13-Jan-16	431.08	432.04	436.36	416.37	33.24K	-0.22%	
14-Jan-16	429.25	431.08	434.91	426.03	13.30K	-0.42%	
15-Jan-16	358.85	429.25	429.43	358	123.88K	-16.40%	
16-Jan-16	388.42	359.02	392.4	353.21	74.07K	8.24%	
17-Jan-16	382.07	388.44	392.79	378.82	20.63K	-1.63%	
18-Jan-16	387.04	382.02	389.43	375.11	19.55K	1.30%	
19-Jan-16	378.96	387.04	388.35	377.44	17.19K	-2.09%	
20-Jan-16	419.41	378.93	427.98	375.01	82.80K	10.67%	
21-Jan-16	411	419.55	424.57	405.02	29.03K	-2.01%	
22-Jan-16	380.96	411	411.19	371.33	62.21K	-7.31%	
23-Jan-16	385.57	380.96	394	379.85	21.47K	1.21%	
24-Jan-16	402.77	385.57	407.02	385.1	23.22K	4.46%	
25-Jan-16	390.98	402.77	402.77	384	22.66K	-2.93%	
26-Jan-16	391.32	390.96	398	387.48	13.32K	0.09%	
27-Jan-16	394.97	391.32	396.99	389.66	8.54K	0.93%	
28-Jan-16	378.39	394.7	395.48	375.61	25.03K	-4.20%	
29-Jan-16	377.63	378.39	385.31	360.23	62.20K	-0.20%	
30-Jan-16	376.96	377.62	380.5	374	10.50K	-0.18%	
31-Jan-16	365.5	376.96	378.9	362.57	14.85K	-3.04%	
1-Feb-16	371.42	365.52	378.96	363.26	24.84K	1.62%	
2-Feb-16	372.9	371.42	374.75	369.9	10.44K	0.40%	
3-Feb-16	368.98	372.9	373.97	366	13.20K	-1.05%	
4-Feb-16	389.8	368.98	393.89	368.65	37.34K	5.64%	
5-Feb-16	386.54	389.8	392.57	384.5	16.90K	-0.84%	
6-Feb-16	373.75	386.54	386.54	366.44	40.20K	-3.31%	
7-Feb-16	372.01	373.71	377.78	369.2	13.06K	-0.47%	
8-Feb-16	370.49	372.01	376.74	369.1	16.88K	-0.41%	
9-Feb-16	373.97	370.49	377.6	370.28	9.08K	0.94%	
10-Feb-16	380.89	374.31	386.52	373.13	33.67K	1.85%	
11-Feb-16	378	380.9	383	372.25	14.52K	-0.76%	
