Date		Price	Open	High	Low	Vol.	Change%	
4-Jan-16	759.44	762.2	762.2	747.54	3.37M	-2.39%	
5-Jan-16	761.53	764.1	769.2	755.65	2.26M	0.28%	
6-Jan-16	759.33	750.37	765.73	748	2.41M	-0.29%	
7-Jan-16	741	746.49	755.31	735.28	3.16M	-2.41%	
8-Jan-16	730.91	747.8	750.12	728.92	2.38M	-1.36%	
11-Jan-16	733.07	731.95	735.08	719.56	2.54M	0.30%	
12-Jan-16	745.34	740.75	748.34	736.43	2.34M	1.67%	
13-Jan-16	719.57	749.34	753	716.78	2.59M	-3.46%	
14-Jan-16	731.39	724.44	739.89	705	2.78M	1.64%	
15-Jan-16	710.49	709.99	724.16	701.51	3.83M	-2.86%	
19-Jan-16	719.08	720.15	725.35	709.85	2.44M	1.21%	
20-Jan-16	718.56	705.9	726.95	687.78	4.12M	-0.07%	
21-Jan-16	726.67	720.17	737.67	711.11	2.60M	1.13%	
22-Jan-16	745.46	742	748.56	740.5	2.36M	2.59%	
25-Jan-16	733.62	743.84	752.46	732.5	2.27M	-1.59%	
26-Jan-16	733.79	735.21	739.46	726.97	1.55M	0.02%	
27-Jan-16	717.58	735.89	735.89	713.45	2.12M	-2.21%	
28-Jan-16	748.3	738.19	751.16	730.6	3.11M	4.28%	
29-Jan-16	761.35	748.96	765.11	744.2	3.79M	1.74%	
1-Feb-16	770.77	771.26	777.59	761.38	5.58M	1.24%	
2-Feb-16	780.91	800.5	810.35	780.6	6.79M	1.32%	
3-Feb-16	749.38	786.28	791.43	736.26	6.56M	-4.04%	
4-Feb-16	730.03	744.59	745.24	722.6	5.25M	-2.58%	
5-Feb-16	703.76	725.5	726.72	700.14	5.48M	-3.60%	
8-Feb-16	704.16	687.68	704.52	682.01	4.47M	0.06%	
9-Feb-16	701.02	692.95	720.96	688.5	4.21M	-0.45%	
10-Feb-16	706.85	711.79	723.22	705.39	3.02M	0.83%	
11-Feb-16	706.36	696.34	712.32	691.19	3.25M	-0.07%	
