Week	bitcoin:(Worldwide)
1/3/2016	3
1/10/2016	3
1/17/2016	3
1/24/2016	2
1/31/2016	2
2/7/2016	2
2/14/2016	3
2/21/2016	2
2/28/2016	3
3/6/2016	2
3/13/2016	2
3/20/2016	2
3/27/2016	2
4/3/2016	2
4/10/2016	2
4/17/2016	2
4/24/2016	3
5/1/2016	4
5/8/2016	3
5/15/2016	2
5/22/2016	3
5/29/2016	3
6/5/2016	3
6/12/2016	4
6/19/2016	4
6/26/2016	3
7/3/2016	3
7/10/2016	3
7/17/2016	3
7/24/2016	3
7/31/2016	3
8/7/2016	3
8/14/2016	2
8/21/2016	2
8/28/2016	2
9/4/2016	3
9/11/2016	3
9/18/2016	3
9/25/2016	2
10/2/2016	2
10/9/2016	3
10/16/2016	3
10/23/2016	3
10/30/2016	3
11/6/2016	3
11/13/2016	3
11/20/2016	3
11/27/2016	3
12/4/2016	3
12/11/2016	3
12/18/2016	4
12/25/2016	5
1/1/2017	7
1/8/2017	6
1/15/2017	4
1/22/2017	4
1/29/2017	4
2/5/2017	5
2/12/2017	4
2/19/2017	5
2/26/2017	6
3/5/2017	7
3/12/2017	6
3/19/2017	6
3/26/2017	5
4/2/2017	5
4/9/2017	5
4/16/2017	5
4/23/2017	5
4/30/2017	7
5/7/2017	10
5/14/2017	11
5/21/2017	19
5/28/2017	13
6/4/2017	12
6/11/2017	14
6/18/2017	11
6/25/2017	11
7/2/2017	9
7/9/2017	10
7/16/2017	12
7/23/2017	11
7/30/2017	15
8/6/2017	15
8/13/2017	20
8/20/2017	16
8/27/2017	17
9/3/2017	18
9/10/2017	21
9/17/2017	16
9/24/2017	13
10/1/2017	13
10/8/2017	19
10/15/2017	20
10/22/2017	21
10/29/2017	28
11/5/2017	29
11/12/2017	31
11/19/2017	28
11/26/2017	66
12/3/2017	91
12/10/2017	85
12/17/2017	100
12/24/2017	64
12/31/2017	48
1/7/2018	46
1/14/2018	58
1/21/2018	38
1/28/2018	41
2/4/2018	48
2/11/2018	27
2/18/2018	25
2/25/2018	19
3/4/2018	19
3/11/2018	19
3/18/2018	18
3/25/2018	18
4/1/2018	17
4/8/2018	16
4/15/2018	14
4/22/2018	15
