Week	google:(Worldwide)
1/3/2016	99
1/10/2016	99
1/17/2016	97
1/24/2016	99
1/31/2016	100
2/7/2016	96
2/14/2016	96
2/21/2016	97
2/28/2016	97
3/6/2016	99
3/13/2016	96
3/20/2016	97
3/27/2016	93
4/3/2016	94
4/10/2016	94
4/17/2016	96
4/24/2016	95
5/1/2016	94
5/8/2016	94
5/15/2016	93
5/22/2016	92
5/29/2016	91
6/5/2016	88
6/12/2016	88
6/19/2016	86
6/26/2016	86
7/3/2016	86
7/10/2016	87
7/17/2016	85
7/24/2016	86
7/31/2016	86
8/7/2016	88
8/14/2016	89
8/21/2016	89
8/28/2016	91
9/4/2016	90
9/11/2016	91
9/18/2016	95
9/25/2016	92
10/2/2016	95
10/9/2016	93
10/16/2016	93
10/23/2016	91
10/30/2016	91
11/6/2016	90
11/13/2016	91
11/20/2016	85
11/27/2016	91
12/4/2016	86
12/11/2016	88
12/18/2016	82
12/25/2016	78
1/1/2017	82
1/8/2017	86
1/15/2017	85
1/22/2017	86
1/29/2017	84
2/5/2017	88
2/12/2017	86
2/19/2017	86
2/26/2017	87
3/5/2017	88
3/12/2017	83
3/19/2017	87
3/26/2017	85
4/2/2017	84
4/9/2017	81
4/16/2017	83
4/23/2017	87
4/30/2017	87
5/7/2017	86
5/14/2017	83
5/21/2017	83
5/28/2017	79
6/4/2017	79
6/11/2017	78
6/18/2017	77
6/25/2017	77
7/2/2017	74
7/9/2017	75
7/16/2017	75
7/23/2017	75
7/30/2017	76
8/6/2017	75
8/13/2017	77
8/20/2017	80
8/27/2017	81
9/3/2017	80
9/10/2017	84
9/17/2017	85
9/24/2017	86
10/1/2017	88
10/8/2017	84
10/15/2017	88
10/22/2017	85
10/29/2017	83
11/5/2017	84
11/12/2017	86
11/19/2017	79
11/26/2017	86
12/3/2017	85
12/10/2017	83
12/17/2017	77
12/24/2017	72
12/31/2017	74
1/7/2018	80
1/14/2018	82
1/21/2018	82
1/28/2018	81
2/4/2018	81
2/11/2018	79
2/18/2018	78
2/25/2018	80
3/4/2018	81
3/11/2018	81
3/18/2018	81
3/25/2018	76
